repository	link	type
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOOP1=all&CISOBOX1=Gual&CISOFIELD1=CISOSEARCHALL&CISOOP2=all&CISOBOX2=gual,+adria&CISOFIELD2=creato&CISOROOT=all&t=s	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/page_text.php?CISOROOT=/portalarca&CISOPTR=147928&CISOBOX=0&OBJ=148389&ITEM=1460	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,217236	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,217601	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/epistolari&CISOPTR=7665&REC=4	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142642	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142701	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140370	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,147529	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140293	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/llibimps16&CISOPTR=36139&CISOSHOW=36033	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/collections.php	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/institutions.php	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,17662	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,17663	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/browse.php?CISOROOT=/marqimpress	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/browse.php?CISOROOT=/marqimpress	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/joanamades&CISOPTR=7282&REC=25	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/joanamades&CISOPTR=7282&REC=25	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOOP1=all&CISOBOX1=Valent%C3%AD%20Fargnoli&CISOFIELD1=creato&CISOROOT=/afcecemc	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/joanamades&CISOPTR=8395&REC=27	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=18587&REC=10	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=31648&REC=4	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=32079&REC=3	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=21937&REC=6	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=20584&REC=8	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=18846&REC=9	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/comercUPF&CISOPTR=35948&REC=12	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOOP1=any&CISOFIELD1=CISOSEARCHALL&CISOROOT=/monagrari&CISOBOX1=garbelladora	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141522	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141840	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,144849	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143647	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/llibresxix,41103	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/afcecemc&CISOPTR=6216&CISOBOX=1&REC=2	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/comercUPF&CISOPTR=35948&REC=12	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/joanamades&CISOPTR=6263&REC=23	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/joanamades&CISOPTR=6263&REC=23	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca2&CISOPTR=71071&CISOSHOW=70847	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=7406&REC=14	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/bcsalvany&CISOPTR=2964&CISOBOX=1&REC=3	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=62103&REC=1	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=138597&REC=10	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/pavellorepu&CISOPTR=880&CISOBOX=1&REC=1	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/pavellorepu&CISOPTR=333&CISOBOX=1&REC=2	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/pavellorepu&CISOPTR=1012&CISOBOX=1&REC=3	REG
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=1&path=100115&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=1&path=100115&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/consulta/registro.cmd?id=600013	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1269	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1211&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1269	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1211&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=1&path=100115&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=1&path=100115&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=1&path=100115&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1269	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1269	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1211&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/consulta/resultados_navegacion.cmd?busq_autoridadesbib=DGA20060987004	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1211&presentacion=miniaturas	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?path=1211	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=83&path=1457&forma=&config_zoom=N&presentacion=pagina	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=112&path=1457&forma=&config_zoom=N&presentacion=pagina	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=72&path=1269&presentacion=pagina&idBusqueda=13	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/consulta/resultados_navegacion.cmd?id=11110&forma=ficha&posicion=3	INS
Biblioteca Virtual de Derecho Aragonés	http://www.derechoaragones.es/es/catalogo_imagenes/grupo.cmd?posicion=17&path=1269&forma=&presentacion=pagina	INS
